gipps_lake_quality_site,gipps_lake_quality_year,gipps_lake_quality_month,gipps_lake_quality_temp,gipps_lake_quality_dosat,gipps_lake_quality_ph,gipps_lake_algae,gipps_lake_quality_alert,gipps_lake_quality_qualified
2311,2014,2,19.87795,101.0665352,,,,TRUE
2311,2014,3,18.40265,102.0665872,,,,TRUE
2311,2014,4,17.054,103.8194819,,,,TRUE
2311,2014,5,15.2,99.10987573,,,,FALSE
2311,2014,6,11.4766,97.49011923,,,,FALSE
2311,2014,7,10.85765,109.442865,,,,FALSE
2311,2014,9,13.585575,103.7987038,,,,FALSE
2311,2015,1,19.92035,98.69622172,,,,TRUE
2311,2015,10,18.5984,95.0214835,,,,TRUE
2311,2015,11,20.3114,100.01221,,,,TRUE
2311,2015,12,20.6639,113.63051,,,,TRUE
2311,2015,2,23.0654,,,,,TRUE
2311,2015,3,18.1474,93.24344339,,,,TRUE
2311,2015,4,15.53545,99.7390911,,,,FALSE
2311,2015,5,12.4902,110.666615,,,,FALSE
2311,2015,6,10.78545,98.912426,,,,FALSE
2311,2015,7,9.7134,95.9592005,,,,FALSE
2311,2015,8,12,102.12289,,,,FALSE
2311,2016,1,21.9388,92.31396346,,,,TRUE
2311,2016,10,14.93305,107.0301243,,,,FALSE
2311,2016,11,20.9503,105.1124711,,,,TRUE
2311,2016,12,19.42665,96.10850524,,,,TRUE
2311,2016,2,21.43,113.7555724,,,,TRUE
2311,2016,3,17.9625,88.0394232,,,,TRUE
2311,2016,4,15.9878,98.83304473,,,,FALSE
2311,2016,5,12.5141,100.7775021,,,,FALSE
2311,2016,6,11.0932,87.5839536,,,,FALSE
2311,2016,7,9.0232,96.12828861,,,,FALSE
2311,2016,8,11.90985,99.80952991,,,,FALSE
2311,2016,9,14.2359,106.50775,,,,FALSE
2311,2017,1,21.19265,95.64283401,,,,TRUE
2311,2017,11,16.35775,96.391746,,,,TRUE
2311,2017,12,21.16425,109.951,,,,TRUE
2311,2017,2,20.37605,82.70863626,,,,TRUE
2311,2017,3,20.8475,96.7540881,,,,TRUE
2311,2017,4,17.3644,104.9680969,,,,TRUE
2311,2017,5,14.05995,95.48140064,,,,FALSE
2311,2017,6,11.36215,101.9129619,,,,FALSE
2311,2017,8,10.38665,97.678647,,,,FALSE
2311,2018,10,19.3,,,,,TRUE
2311,2018,11,20.2,,,,,TRUE
2311,2018,12,23.1,,,,,TRUE
2311,2018,3,20.16,112.248,,,,TRUE
2311,2018,4,19.5744,96.826,,,,TRUE
2311,2018,6,12.36505,,,,,FALSE
2311,2018,8,10.6,,,,,FALSE
2311,2019,1,24.1,,,,,TRUE
2311,2019,10,15.4536,112.71,,,,FALSE
2311,2019,11,17.0817,90.4,,,,TRUE
2311,2019,12,16.0248,92.27,,,,TRUE
2311,2019,2,19.3,,,,,TRUE
2311,2019,3,20.8,,,,,TRUE
2311,2019,4,17.8,,,,,TRUE
2311,2019,6,10.3,,,,,FALSE
2311,2019,7,9.9218,96.16,,,,FALSE
2311,2019,8,9.7584,101.09,,,,FALSE
2311,2019,9,14.0143,123.41,,,,FALSE
2311,2020,12,20.2003,111.48,8.723,,,FALSE
2311,2020,2,22.0542,107.14,,,,TRUE
2311,2020,3,18.9423,107.32,,,,TRUE
2311,2020,5,12.4724,110.58,,,,FALSE
2311,2020,6,11.3251,103.07,,,,FALSE
2311,2021,1,18.703,109.36,8.82,,,FALSE
2311,2021,11,17.9106,100.825,7.8875,,,TRUE
2311,2021,12,20.1044,98.63,8.557,,,FALSE
2311,2021,2,19.3925,100.63,8.814,,,FALSE
2311,2021,3,17.1404,103.03,8.92,,,FALSE
2311,2021,4,14.4694,93.18,8.074,,,FALSE
2311,2021,5,14.9334,95.32,8.148,,,FALSE
2311,2021,6,10.688,106.14,8.211,,,FALSE
2311,2021,7,10.0479,107.54,8.532,,,FALSE
2311,2022,1,23.4398,102.7,8.478,,,TRUE
2311,2022,11,14.8693,99.31,8.222,,,FALSE
2311,2022,12,19.3987,103.72,8.069,,,TRUE
2311,2022,2,21.8717,120.29,8.632,,,FALSE
2311,2022,3,20.9732,108.41,8.725,,,FALSE
2311,2022,4,17.1132,141.81,9.124,,,FALSE
2311,2022,5,14.7265,78.59,8.182,,,FALSE
2311,2022,6,9.7295,114.43,8.225,,,FALSE
2311,2022,7,9.8811,103.16,8.141,,,FALSE
2311,2022,8,10.9362,90.69,8.25,,,FALSE
2311,2022,9,13.6987,96.88,8.214,,,FALSE
2311,2023,1,22.1664,100.29,8.436,,,TRUE
2311,2023,10,16.0838,85.01,7.334,,,TRUE
2311,2023,11,14.8681,102.87,7.581,,,FALSE
2311,2023,12,21.3924,95.28,7.512,,,TRUE
2311,2023,2,22.9448,104.63,8.199,,,TRUE
2311,2023,3,19.9207,106.39,8.249,,,TRUE
2311,2023,4,16.3182,96.13,7.917,,,TRUE
2311,2023,5,12.5341,111.03,8.072,,,FALSE
2311,2023,6,10.1595,102.57,7.828,,,FALSE
2311,2023,8,11.692,95.81,7.669,,,FALSE
2311,2023,9,13.7529,93.91,7.669,,,FALSE
2311,2024,1,23.577,140.4,8.47,,,TRUE
2311,2024,10,14.734,102.96,7.874,,,FALSE
2311,2024,11,21.6965,98.24,7.854,,,TRUE
2311,2024,2,21.3029,115.93,8.114,Low,No,TRUE
2311,2024,3,18.813,99.88,7.844,Low,No,TRUE
2311,2024,4,14.475,106.84,8.103,Low,No,FALSE
2311,2024,5,13.5412,107.24,7.57,Low,No,FALSE
2311,2024,7,10.0541,104.99,7.996,,,FALSE
2311,2024,8,9.9596,112.11,8.227,,,FALSE
2311,2024,9,14.3996,100.69,7.883,,,FALSE
2311,2025,1,23.6931,101.59,7.968,Low,No,TRUE
2311,2025,2,21.8731,115.76,7.962,Not detected,-,TRUE
2311,2025,3,22.8508,100.79,8.191,,,TRUE
2311,2025,5,15.8316,104.7,8.012,,,FALSE
2311,2025,6,9.6605,120.83,8.335,,,FALSE
2314,2013,12,23.1,109,,,,TRUE
2314,2014,1,22.65155,93.6718392,,,,TRUE
2314,2014,10,17.80405,103.13588,,,,TRUE
2314,2014,11,19.978,103.7439896,,,,TRUE
2314,2014,12,21.8734,105.445725,,,,TRUE
2314,2014,2,21.0713,101.7231975,,,,TRUE
2314,2014,3,19.69335,103.701585,,,,TRUE
2314,2014,4,17.78485,111.8351987,,,,TRUE
2314,2014,5,15.1,107.8157921,,,,FALSE
2314,2014,6,12.67465,102.9053158,,,,FALSE
2314,2014,7,11.2751,112.391415,,,,FALSE
2314,2014,9,13.6653,105.9317391,,,,FALSE
2314,2015,1,21.4364,98.05742084,,,,TRUE
2314,2015,10,18.5261,96.1031031,,,,TRUE
2314,2015,11,20.7917,108.49614,,,,TRUE
2314,2015,12,20.6903,112.26673,,,,TRUE
2314,2015,3,19.04255,96.9639465,,,,TRUE
2314,2015,4,15.91885,107.3283362,,,,FALSE
2314,2015,5,12.6446,99.281591,,,,FALSE
2314,2015,6,10.90945,103.0691375,,,,FALSE
2314,2015,7,10.4609,105.39086,,,,FALSE
2314,2015,8,12.4,106.35518,,,,FALSE
2314,2016,1,22.01715,96.24512431,,,,TRUE
2314,2016,10,16.2231,106.9400037,,,,TRUE
2314,2016,11,20.75695,116.1087394,,,,TRUE
2314,2016,12,19.76325,94.4040487,,,,TRUE
2314,2016,2,23.1298,110.0397305,,,,TRUE
2314,2016,3,18.365,94.32410825,,,,TRUE
2314,2016,4,17.40845,113.2347653,,,,TRUE
2314,2016,5,13.7276,100.7381828,,,,FALSE
2314,2016,6,11.0361,96.44569145,,,,FALSE
2314,2016,7,9.1911,93.36849567,,,,FALSE
2314,2016,8,12.3617,114.2234114,,,,FALSE
2314,2016,9,14.5767,,,,,FALSE
2314,2017,1,21.66315,98.87109919,,,,TRUE
2314,2017,11,16.5848,95.422436,,,,TRUE
2314,2017,12,21.72475,107.416,,,,TRUE
2314,2017,2,20.6182,78.68615853,,,,FALSE
2314,2017,3,21.09955,85.5800255,,,,TRUE
2314,2017,4,18.05485,113.4527783,,,,TRUE
2314,2017,5,14.42795,108.222121,,,,FALSE
2314,2017,6,11.2764,105.09673,,,,FALSE
2314,2017,8,11.01825,99.96868055,,,,FALSE
2314,2018,10,19.1,,,,,TRUE
2314,2018,11,19.4,,,,,TRUE
2314,2018,12,23,,,,,TRUE
2314,2018,3,20.8667,110.05,,,,TRUE
2314,2018,4,19.53875,94.006,,,,TRUE
2314,2018,6,12.6167,,,,,FALSE
2314,2018,8,12,,,,,FALSE
2314,2019,1,25.2,,,,,TRUE
2314,2019,10,14.6644,105.83,,,,FALSE
2314,2019,11,17.3774,98.55,,,,TRUE
2314,2019,12,16.6766,95.25,,,,TRUE
2314,2019,2,20,,,,,TRUE
2314,2019,3,21,,,,,TRUE
2314,2019,4,19,,,,,TRUE
2314,2019,6,10.9,,,,,FALSE
2314,2019,7,10.1884,97.36,,,,FALSE
2314,2019,8,9.9835,101.01,,,,FALSE
2314,2019,9,13.5917,114.69,,,,FALSE
2314,2020,12,21.1376,105.095,8.7075,,,FALSE
2314,2020,2,21.9709,101.61,,,,TRUE
2314,2020,3,19.5393,105.13,,,,TRUE
2314,2020,5,12.1126,107.71,,,,FALSE
2314,2020,6,11.1763,100.95,,,,FALSE
2314,2021,1,19.7829,107.34,8.849,,,FALSE
2314,2021,11,19.1389,120.78,8.429,,,TRUE
2314,2021,12,20.889,120.16,8.98,,,FALSE
2314,2021,2,21.1941,107.26,8.912,,,FALSE
2314,2021,3,17.6911,97.25,8.913,,,FALSE
2314,2021,4,15.0932,101.47,8.257,,,FALSE
2314,2021,5,15.1763,92.62,8.236,,,FALSE
2314,2021,6,10.46,135.42,8.857,,,FALSE
2314,2021,7,10.7997,126.49,9.028,,,FALSE
2314,2022,1,24.8084,99.24,8.822,,,FALSE
2314,2022,11,16.09435,102.165,8.216,,,TRUE
2314,2022,12,19.1667,115.95,8.532,,,FALSE
2314,2022,2,23.1299,101.84,8.247,,,TRUE
2314,2022,3,22.1112,140.86,8.966,,,FALSE
2314,2022,4,18.1472,156.69,9.299,,,FALSE
2314,2022,5,14.7877,106.01,8.729,,,FALSE
2314,2022,6,9.977,122.32,8.51,,,FALSE
2314,2022,7,9.8059,100.76,8.517,,,FALSE
2314,2022,8,11.1475,105.24,8.619,,,FALSE
2314,2022,9,14.651,103.38,8.431,,,FALSE
2314,2023,1,22.7712,110.24,8.428,,,TRUE
2314,2023,10,16.4732,93.99,7.695,,,TRUE
2314,2023,11,16.2553,106.43,7.78,,,TRUE
2314,2023,12,22.1199,95.07,7.703,,,TRUE
2314,2023,2,22.8034,101.44,8.241,,,TRUE
2314,2023,3,20.3212,105.06,8.258,,,TRUE
2314,2023,4,16.6232,106.69,8.029,,,TRUE
2314,2023,5,12.7663,108.14,8.007,,,FALSE
2314,2023,6,10.3344,102.51,7.894,,,FALSE
2314,2023,8,11.4885,109.74,8.008,,,FALSE
2314,2023,9,13.647,104.67,7.832,,,FALSE
2314,2024,1,23.3288,121.75,8.223,,,TRUE
2314,2024,10,15.6732,100.14,8.054,,,FALSE
2314,2024,11,22.022,100.1,8.004,,,TRUE
2314,2024,2,21.2436,110.83,8.147,Low,No,TRUE
2314,2024,3,19.0884,103.83,7.85,Low,No,TRUE
2314,2024,4,15.4707,97.75,8.062,Low,No,FALSE
2314,2024,5,13.4907,103.5,7.552,Low,No,FALSE
2314,2024,7,9.7127,121.02,8.216,,,FALSE
2314,2024,8,10.6884,117.53,8.323,,,FALSE
2314,2024,9,14.6989,102.91,8.05,,,FALSE
2314,2025,1,23.475,100.98,8.029,Not detected,-,TRUE
2314,2025,2,22.1775,104.08,7.947,Not detected,-,TRUE
2314,2025,3,22.9202,89.23,8.391,,,TRUE
2314,2025,5,16.1278,117.58,8.317,,,TRUE
2314,2025,6,9.712,118.97,8.104,,,FALSE
2316,2013,12,24.5,108.9,,,,TRUE
2316,2014,1,22.9353,96.0753251,,,,TRUE
2316,2014,10,18.84195,105.580155,,,,TRUE
2316,2014,11,20.4684,104.6412662,,,,TRUE
2316,2014,12,23.609,111.3720925,,,,TRUE
2316,2014,2,21.44365,102.7070624,,,,TRUE
2316,2014,3,19.7935,96.46604,,,,TRUE
2316,2014,4,19.41185,107.6939683,,,,TRUE
2316,2014,5,15.3,106.9990937,,,,FALSE
2316,2014,6,12.19895,103.7646018,,,,FALSE
2316,2014,7,11.27475,113.3271275,,,,FALSE
2316,2014,9,14.66575,113.4774977,,,,FALSE
2316,2015,1,22.1714,,,,,TRUE
2316,2015,10,17.884,93.07490356,,,,TRUE
2316,2015,11,21.3828,101.042785,,,,TRUE
2316,2015,12,20.54565,111.35852,,,,TRUE
2316,2015,2,23.4289,,,,,TRUE
2316,2015,3,18.9063,96.72176437,,,,TRUE
2316,2015,4,15.8733,105.30537,,,,FALSE
2316,2015,5,12.85335,99.3825775,,,,FALSE
2316,2015,6,11.05465,103.993995,,,,FALSE
2316,2015,7,10.71575,115.2289875,,,,FALSE
2316,2015,8,13,104.14633,,,,FALSE
2316,2016,1,22.5151,111.0209817,,,,TRUE
2316,2016,10,16.4425,106.6045875,,,,TRUE
2316,2016,11,20.6534,113.7119538,,,,TRUE
2316,2016,2,23.8159,117.2611044,,,,TRUE
2316,2016,3,18.4881,96.61912974,,,,TRUE
2316,2016,4,17.1464,103.6619408,,,,TRUE
2316,2016,5,13.69,102.3912742,,,,FALSE
2316,2016,6,11.44395,99.67544921,,,,FALSE
2316,2016,7,9.30835,94.79746722,,,,FALSE
2316,2016,8,12.217,114.3550808,,,,FALSE
2316,2016,9,14.4751,,,,,FALSE
2316,2017,11,16.9096,101.06233,,,,TRUE
2316,2017,12,21.9281,101.675,,,,TRUE
2316,2017,2,20.9709,87.65041236,,,,TRUE
2316,2017,3,21.56105,99.3367492,,,,TRUE
2316,2017,4,18.20965,113.6387833,,,,TRUE
2316,2017,5,14.1394,110.6759462,,,,FALSE
2316,2017,6,11.2473,107.4729425,,,,FALSE
2316,2017,8,12.1376,99.9807547,,,,FALSE
2316,2018,10,19,,,,,TRUE
2316,2018,11,19.4,,,,,TRUE
2316,2018,12,23.3,,,,,TRUE
2316,2018,3,21.17105,108.225,,,,TRUE
2316,2018,4,20.1789,98.989,,,,TRUE
2316,2018,6,12.634,,,,,FALSE
2316,2018,8,10.9,,,,,FALSE
2316,2019,1,25.3,,,,,TRUE
2316,2019,10,14.9083,105.15,,,,FALSE
2316,2019,11,17.6837,94.42,,,,TRUE
2316,2019,12,16.9325,93.8,,,,TRUE
2316,2019,2,20.4,,,,,TRUE
2316,2019,3,20.8,,,,,TRUE
2316,2019,4,18.7,,,,,TRUE
2316,2019,6,10.95,,,,,FALSE
2316,2019,7,10.1454,97.59,,,,FALSE
2316,2019,8,10.0965,99.81,,,,FALSE
2316,2019,9,13.4706,106.63,,,,FALSE
2316,2020,12,21.0556,113.01,8.707,,,FALSE
2316,2020,2,22.5371,120.02,,,,TRUE
2316,2020,3,20.4314,109.17,,,,TRUE
2316,2020,5,12.9903,124.65,,,,FALSE
2316,2020,6,11.5216,107.45,,,,FALSE
2316,2021,1,20.1227,111.75,8.894,,,FALSE
2316,2021,11,19.7867,114.66,8.336,,,TRUE
2316,2021,12,22.586,104.42,8.569,,,FALSE
2316,2021,2,21.2222,101.88,8.868,,,FALSE
2316,2021,3,17.8056,100.95,8.854,,,FALSE
2316,2021,4,15.3265,100.39,8.192,,,FALSE
2316,2021,5,15.5706,94.12,8.22,,,FALSE
2316,2021,6,11.026,116.39,8.497,,,FALSE
2316,2021,7,11.2184,97.57,8.678,,,FALSE
2316,2022,1,25.1844,96.88,8.842,,,FALSE
2316,2022,11,16.1238,102.645,8.269,,,TRUE
2316,2022,12,19.6377,116.59,8.541,,,FALSE
2316,2022,2,23.2279,103.12,8.366,,,TRUE
2316,2022,3,21.6104,156.73,9.165,,,FALSE
2316,2022,4,18.0973,153.25,9.255,,,FALSE
2316,2022,5,15.0612,112.69,8.77,,,FALSE
2316,2022,6,10.405,127.84,8.536,,,FALSE
2316,2022,7,10.2121,112.15,8.899,,,FALSE
2316,2022,8,11.3182,107.83,8.697,,,FALSE
2316,2022,9,14.3079,102.94,8.458,,,FALSE
2316,2023,1,23.4909,109.62,8.276,,,TRUE
2316,2023,10,16.6209,91.59,7.631,,,TRUE
2316,2023,11,16.2705,105.35,7.726,,,TRUE
2316,2023,12,22.4584,97.44,7.835,,,TRUE
2316,2023,2,23.1283,102.28,8.155,,,TRUE
2316,2023,3,20.5013,104.65,8.22,,,TRUE
2316,2023,4,16.5775,110.84,8.079,,,TRUE
2316,2023,5,12.8672,108.55,8.029,,,FALSE
2316,2023,6,10.4003,110.35,8.004,,,FALSE
2316,2023,8,11.6859,111.37,8.024,,,FALSE
2316,2023,9,14.0671,105.52,7.851,,,FALSE
2316,2024,1,24.1397,127.34,8.275,,,TRUE
2316,2024,10,16.537,107.19,8.094,,,TRUE
2316,2024,11,23.4546,104.89,7.992,,,TRUE
2316,2024,2,22.5563,134.35,8.45,Low,No,TRUE
2316,2024,3,20.4148,113.36,8.02,Low,No,TRUE
2316,2024,4,15.6885,99.55,8.016,Low,No,FALSE
2316,2024,5,13.9834,110.39,7.672,Low,No,FALSE
2316,2024,7,10.5936,122.98,8.282,,,FALSE
2316,2024,8,10.681,121.07,8.328,,,FALSE
2316,2024,9,14.9584,105.49,8.105,,,FALSE
2316,2025,1,24.2817,106.06,8.042,Low,No,TRUE
2316,2025,2,23.4863,123.41,8.069,Not detected,-,TRUE
2316,2025,3,23.2406,105.37,8.596,,,FALSE
2316,2025,5,17.0919,101.26,8.134,,,TRUE
2316,2025,6,10.7323,128.89,8.253,,,FALSE
