gipps_lake_quality_site,gipps_lake_quality_year,gipps_lake_quality_month,gipps_lake_quality_temp,gipps_lake_quality_dosat,gipps_lake_quality_ph,gipps_lake_quality_algae,gipps_lake_quality_alert
2316,2024,8,10.681,121.07,8.328,,
2316,2024,9,14.9584,105.49,8.105,,
2316,2024,10,16.537,107.19,8.094,,
2316,2024,11,23.4546,104.89,7.992,,
2316,2024,12,,,,,
2316,2025,1,24.2817,106.06,8.042,Low,No
2316,2025,2,23.4863,123.41,8.069,Not detected,-
2316,2025,3,23.2406,105.37,8.596,,
2316,2025,4,,,,,
2316,2025,5,17.0919,101.26,8.134,,
2316,2025,6,10.7323,128.89,8.253,,
2316,2025,7,,,,,
2316,2025,8,,,,,
2316,2025,9,,,,,
2316,2025,10,,,,,
2316,2025,11,,,,,
2316,2025,12,,,,,
2314,2013,1,,,,,
2314,2013,2,,,,,
2314,2013,3,,,,,
2314,2013,4,,,,,
2314,2013,5,,,,,
2314,2013,6,,,,,
2314,2013,7,,,,,
2314,2013,8,,,,,
2314,2013,9,,,,,
2314,2013,10,,,,,
2314,2013,11,,,,,
2314,2013,12,23.1,109,,,
2314,2014,1,22.65155,93.6718392,,,
2314,2014,2,21.0713,101.7231975,,,
2314,2014,3,19.69335,103.701585,,,
2314,2014,4,17.78485,111.8351987,,,
2314,2014,5,15.1,107.8157921,,,
2314,2014,6,12.67465,102.9053158,,,
2314,2014,7,11.2751,112.391415,,,
2314,2014,8,,,,,
2314,2014,9,13.6653,105.9317391,,,
2314,2014,10,17.80405,103.13588,,,
2314,2014,11,19.978,103.7439896,,,
2314,2014,12,21.8734,105.445725,,,
2314,2015,1,21.4364,98.05742084,,,
2314,2015,2,23.3344,,,,
2314,2015,3,19.04255,96.9639465,,,
2314,2015,4,15.91885,107.3283362,,,
2314,2015,5,12.6446,99.281591,,,
2314,2015,6,10.90945,103.0691375,,,
2314,2015,7,10.4609,105.39086,,,
2314,2015,8,12.4,106.35518,,,
2314,2015,9,,,,,
2314,2015,10,18.5261,96.1031031,,,
2314,2015,11,20.7917,108.49614,,,
2314,2015,12,20.6903,112.26673,,,
2314,2016,1,22.01715,96.24512431,,,
2314,2016,2,23.1298,110.0397305,,,
2314,2016,3,18.365,94.32410825,,,
2314,2016,4,17.40845,113.2347653,,,
2314,2016,5,13.7276,100.7381828,,,
2314,2016,6,11.0361,96.44569145,,,
2314,2016,7,9.1911,93.36849567,,,
2314,2016,8,12.3617,114.2234114,,,
2314,2016,9,14.5767,,,,
2314,2016,10,16.2231,106.9400037,,,
2314,2016,11,20.75695,116.1087394,,,
2314,2016,12,19.76325,94.4040487,,,
2314,2017,1,21.66315,98.87109919,,,
2314,2017,2,20.6182,78.68615853,,,
2314,2017,3,21.09955,85.5800255,,,
2314,2017,4,18.05485,113.4527783,,,
2314,2017,5,14.42795,108.222121,,,
2314,2017,6,11.2764,105.09673,,,
2314,2017,7,,,,,
2314,2017,8,11.01825,99.96868055,,,
2314,2017,9,,,,,
2314,2017,10,,,,,
2314,2017,11,16.5848,95.422436,,,
2314,2017,12,21.72475,107.416,,,
2314,2018,1,,,,,
2314,2018,2,,,,,
2314,2018,3,20.8667,110.05,,,
2314,2018,4,19.53875,94.006,,,
2314,2018,5,,,,,
2314,2018,6,12.6167,,,,
2314,2018,7,,,,,
2314,2018,8,12,,,,
2314,2018,9,,,,,
2314,2018,10,19.1,,,,
2314,2018,11,19.4,,,,
2314,2018,12,23,,,,
2314,2019,1,25.2,,,,
2314,2019,2,20,,,,
2314,2019,3,21,,,,
2314,2019,4,19,,,,
2314,2019,5,,,,,
2314,2019,6,10.9,,,,
2314,2019,7,10.1884,97.36,,,
2314,2019,8,9.9835,101.01,,,
2314,2019,9,13.5917,114.69,,,
2314,2019,10,14.6644,105.83,,,
2314,2019,11,17.3774,98.55,,,
2314,2019,12,16.6766,95.25,,,
2314,2020,1,,,,,
2314,2020,2,21.9709,101.61,,,
2314,2020,3,19.5393,105.13,,,
2314,2020,4,,,,,
2314,2020,5,12.1126,107.71,,,
2314,2020,6,11.1763,100.95,,,
2314,2020,7,,,,,
2314,2020,8,,,,,
2314,2020,9,,,,,
2314,2020,10,,,,,
2314,2020,11,,,,,
2314,2020,12,21.1376,105.095,8.7075,,
2314,2021,1,19.7829,107.34,8.849,,
2314,2021,2,21.1941,107.26,8.912,,
2314,2021,3,17.6911,97.25,8.913,,
2314,2021,4,15.0932,101.47,8.257,,
2314,2021,5,15.1763,92.62,8.236,,
2314,2021,6,10.46,135.42,8.857,,
2314,2021,7,10.7997,126.49,9.028,,
2314,2021,8,,,,,
2314,2021,9,,,,,
2314,2021,10,,,,,
2314,2021,11,19.1389,120.78,8.429,,
2314,2021,12,20.889,120.16,8.98,,
2314,2022,1,24.8084,99.24,8.822,,
2314,2022,2,23.1299,101.84,8.247,,
2314,2022,3,22.1112,140.86,8.966,,
2314,2022,4,18.1472,156.69,9.299,,
2314,2022,5,14.7877,106.01,8.729,,
2314,2022,6,9.977,122.32,8.51,,
2314,2022,7,9.8059,100.76,8.517,,
2314,2022,8,11.1475,105.24,8.619,,
2314,2022,9,14.651,103.38,8.431,,
2314,2022,10,,,,,
2314,2022,11,16.09435,102.165,8.216,,
2314,2022,12,19.1667,115.95,8.532,,
2314,2023,1,22.7712,110.24,8.428,,
2314,2023,2,22.8034,101.44,8.241,,
2314,2023,3,20.3212,105.06,8.258,,
2314,2023,4,16.6232,106.69,8.029,,
2314,2023,5,12.7663,108.14,8.007,,
2314,2023,6,10.3344,102.51,7.894,,
2314,2023,7,,,,,
2314,2023,8,11.4885,109.74,8.008,,
2314,2023,9,13.647,104.67,7.832,,
2314,2023,10,16.4732,93.99,7.695,,
2314,2023,11,16.2553,106.43,7.78,,
2314,2023,12,22.1199,95.07,7.703,,
2314,2024,1,23.3288,121.75,8.223,,
2314,2024,2,21.2436,110.83,8.147,Low,No
2314,2024,3,19.0884,103.83,7.85,Low,No
2314,2024,4,15.4707,97.75,8.062,Low,No
2314,2024,5,13.4907,103.5,7.552,Low,No
2314,2024,6,,,,,
2314,2024,7,9.7127,121.02,8.216,,
2314,2024,8,10.6884,117.53,8.323,,
2314,2024,9,14.6989,102.91,8.05,,
2314,2024,10,15.6732,100.14,8.054,,
2314,2024,11,22.022,100.1,8.004,,
2314,2024,12,,,,,
2314,2025,1,23.475,100.98,8.029,Not detected,-
2314,2025,2,22.1775,104.08,7.947,Not detected,-
2314,2025,3,22.9202,89.23,8.391,,
2314,2025,4,,,,,
2314,2025,5,16.1278,117.58,8.317,,
2314,2025,6,9.712,118.97,8.104,,
2314,2025,7,,,,,
2314,2025,8,,,,,
2314,2025,9,,,,,
2314,2025,10,,,,,
2314,2025,11,,,,,
2314,2025,12,,,,,
2311,2013,1,,,,,
2311,2013,2,,,,,
2311,2013,3,,,,,
2311,2013,4,,,,,
2311,2013,5,,,,,
2311,2013,6,,,,,
2311,2013,7,,,,,
2311,2013,8,,,,,
2311,2013,9,,,,,
2311,2013,10,,,,,
2311,2013,11,,,,,
2311,2013,12,23.4,111.6395649,,,
2311,2014,1,22.2462,89.5178551,,,
2311,2014,2,19.87795,101.0665352,,,
2311,2014,3,18.40265,102.0665872,,,
2311,2014,4,17.054,103.8194819,,,
2311,2014,5,15.2,99.10987573,,,
2311,2014,6,11.4766,97.49011923,,,
2311,2014,7,10.85765,109.442865,,,
2311,2014,8,,,,,
2311,2014,9,13.585575,103.7987038,,,
2311,2014,10,16.9396,104.463305,,,
2311,2014,11,18.68545,104.5730369,,,
2311,2014,12,20.8461,102.3792,,,
2311,2015,1,19.92035,98.69622172,,,
2311,2015,2,23.0654,,,,
2311,2015,3,18.1474,93.24344339,,,
2311,2015,4,15.53545,99.7390911,,,
2311,2015,5,12.4902,110.666615,,,
2311,2015,6,10.78545,98.912426,,,
2311,2015,7,9.7134,95.9592005,,,
2311,2015,8,12,102.12289,,,
2311,2015,9,,,,,
2311,2015,10,18.5984,95.0214835,,,
2311,2015,11,20.3114,100.01221,,,
2311,2015,12,20.6639,113.63051,,,
2311,2016,1,21.9388,92.31396346,,,
2311,2016,2,21.43,113.7555724,,,
2311,2016,3,17.9625,88.0394232,,,
2311,2016,4,15.9878,98.83304473,,,
2311,2016,5,12.5141,100.7775021,,,
2311,2016,6,11.0932,87.5839536,,,
2311,2016,7,9.0232,96.12828861,,,
2311,2016,8,11.90985,99.80952991,,,
2311,2016,9,14.2359,106.50775,,,
2311,2016,10,14.93305,107.0301243,,,
2311,2016,11,20.9503,105.1124711,,,
2311,2016,12,19.42665,96.10850524,,,
2311,2017,1,21.19265,95.64283401,,,
2311,2017,2,20.37605,82.70863626,,,
2311,2017,3,20.8475,96.7540881,,,
2311,2017,4,17.3644,104.9680969,,,
2311,2017,5,14.05995,95.48140064,,,
2311,2017,6,11.36215,101.9129619,,,
2311,2017,7,,,,,
2311,2017,8,10.38665,97.678647,,,
2311,2017,9,,,,,
2311,2017,10,,,,,
2311,2017,11,16.35775,96.391746,,,
2311,2017,12,21.16425,109.951,,,
2311,2018,1,,,,,
2311,2018,2,,,,,
2311,2018,3,20.16,112.248,,,
2311,2018,4,19.5744,96.826,,,
2311,2018,5,,,,,
2311,2018,6,12.36505,,,,
2311,2018,7,,,,,
2311,2018,8,10.6,,,,
2311,2018,9,,,,,
2311,2018,10,19.3,,,,
2311,2018,11,20.2,,,,
2311,2018,12,23.1,,,,
2311,2019,1,24.1,,,,
2311,2019,2,19.3,,,,
2311,2019,3,20.8,,,,
2311,2019,4,17.8,,,,
2311,2019,5,,,,,
2311,2019,6,10.3,,,,
2311,2019,7,9.9218,96.16,,,
2311,2019,8,9.7584,101.09,,,
2311,2019,9,14.0143,123.41,,,
2311,2019,10,15.4536,112.71,,,
2311,2019,11,17.0817,90.4,,,
2311,2019,12,16.0248,92.27,,,
2311,2020,1,,,,,
2311,2020,2,22.0542,107.14,,,
2311,2020,3,18.9423,107.32,,,
2311,2020,4,,,,,
2311,2020,5,12.4724,110.58,,,
2311,2020,6,11.3251,103.07,,,
2311,2020,7,,,,,
2311,2020,8,,,,,
2311,2020,9,,,,,
2311,2020,10,,,,,
2311,2020,11,,,,,
2311,2020,12,20.2003,111.48,8.723,,
2311,2021,1,18.703,109.36,8.82,,
2311,2021,2,19.3925,100.63,8.814,,
2311,2021,3,17.1404,103.03,8.92,,
2311,2021,4,14.4694,93.18,8.074,,
2311,2021,5,14.9334,95.32,8.148,,
2311,2021,6,10.688,106.14,8.211,,
2311,2021,7,10.0479,107.54,8.532,,
2311,2021,8,,,,,
2311,2021,9,,,,,
2311,2021,10,,,,,
2311,2021,11,17.9106,100.825,7.8875,,
2311,2021,12,20.1044,98.63,8.557,,
2311,2022,1,23.4398,102.7,8.478,,
2311,2022,2,21.8717,120.29,8.632,,
2311,2022,3,20.9732,108.41,8.725,,
2311,2022,4,17.1132,141.81,9.124,,
2311,2022,5,14.7265,78.59,8.182,,
2311,2022,6,9.7295,114.43,8.225,,
2311,2022,7,9.8811,103.16,8.141,,
2311,2022,8,10.9362,90.69,8.25,,
2311,2022,9,13.6987,96.88,8.214,,
2311,2022,10,,,,,
2311,2022,11,14.8693,99.31,8.222,,
2311,2022,12,19.3987,103.72,8.069,,
2311,2023,1,22.1664,100.29,8.436,,
2311,2023,2,22.9448,104.63,8.199,,
2311,2023,3,19.9207,106.39,8.249,,
2311,2023,4,16.3182,96.13,7.917,,
2311,2023,5,12.5341,111.03,8.072,,
2311,2023,6,10.1595,102.57,7.828,,
2311,2023,7,,,,,
2311,2023,8,11.692,95.81,7.669,,
2311,2023,9,13.7529,93.91,7.669,,
2311,2023,10,16.0838,85.01,7.334,,
2311,2023,11,14.8681,102.87,7.581,,
2311,2023,12,21.3924,95.28,7.512,,
2311,2024,1,23.577,140.4,8.47,,
2311,2024,2,21.3029,115.93,8.114,Low,No
2311,2024,3,18.813,99.88,7.844,Low,No
2311,2024,4,14.475,106.84,8.103,Low,No
2311,2024,5,13.5412,107.24,7.57,Low,No
2311,2024,6,,,,,
2311,2024,7,10.0541,104.99,7.996,,
2311,2024,8,9.9596,112.11,8.227,,
2311,2024,9,14.3996,100.69,7.883,,
2311,2024,10,14.734,102.96,7.874,,
2311,2024,11,21.6965,98.24,7.854,,
2311,2024,12,,,,,
2311,2025,1,23.6931,101.59,7.968,Low,No
2311,2025,2,21.8731,115.76,7.962,Not detected,-
2311,2025,3,22.8508,100.79,8.191,,
2311,2025,4,,,,,
2311,2025,5,15.8316,104.7,8.012,,
2311,2025,6,9.6605,120.83,8.335,,
2311,2025,7,,,,,
2311,2025,8,,,,,
2311,2025,9,,,,,
2311,2025,10,,,,,
2311,2025,11,,,,,
2311,2025,12,,,,,
2306,2013,1,,,,,
2306,2013,2,,,,,
2306,2013,3,,,,,
2306,2013,4,,,,,
2306,2013,5,,,,,
2306,2013,6,,,,,
2306,2013,7,,,,,
2306,2013,8,,,,,
2306,2013,9,,,,,
2306,2013,10,,,,,
2306,2013,11,,,,,
2306,2013,12,21.6,95.59848513,,,
2306,2014,1,22.3,90.11763708,,,
2306,2014,2,19.07685,98.6601511,,,
2306,2014,3,17.9668,99.1829253,,,
2306,2014,4,16.9877,99.0067806,,,
2306,2014,5,14.7,95.1367167,,,
2306,2014,6,12.128,106.9510147,,,
2306,2014,7,10.8,105.72927,,,
2306,2014,8,,,,,
2306,2014,9,13.189925,107.0633197,,,
2306,2014,10,16.23545,94.748903,,,
2306,2014,11,19.19235,106.3532476,,,
2306,2014,12,20.6432,90.269695,,,
2306,2015,1,19.75765,96.23060948,,,
2306,2015,2,23.2455,,,,
2306,2015,3,17.91085,95.132349,,,
2306,2015,4,15.1294,100.5638077,,,
2306,2015,5,12.13825,106.847465,,,
2306,2015,6,10.20605,100.2442785,,,
2306,2015,7,8.52395,101.213324,,,
2306,2015,8,11.4,101.17383,,,
2306,2015,9,,,,,
2306,2015,10,18.2719,,,,
2306,2015,11,20.30495,97.54915,,,
2306,2015,12,19.36695,,,,
2306,2016,1,21.39635,88.50154422,,,
2306,2016,2,21.0369,102.5471059,,,
2306,2016,3,17.4214,93.2298627,,,
2306,2016,4,15.98265,104.7736487,,,
2306,2016,5,12.3327,103.88502,,,
2306,2016,6,10.47895,97.07796777,,,
2306,2016,7,8.6103,102.18852,,,
2306,2016,8,11.39525,99.22334118,,,
2306,2016,9,13.73805,100.9231,,,
2306,2016,10,14.1713,96.45564791,,,
2306,2016,11,19.96885,94.82839535,,,
2306,2016,12,19.58515,100.4981542,,,
2306,2017,1,20.77815,98.05565725,,,
2306,2017,2,18.9822,71.62224995,,,
2306,2017,3,20.3713,89.2810214,,,
2306,2017,4,17.02765,107.975191,,,
2306,2017,5,13.0787,108.6644416,,,
2306,2017,6,10.51995,103.4349624,,,
2306,2017,7,,,,,
2306,2017,8,9.9933,102.413565,,,
2306,2017,9,,,,,
2306,2017,10,,,,,
2306,2017,11,16.33675,99.1334475,,,
2306,2017,12,20.22645,99.02,,,
2306,2018,1,,,,,
2306,2018,2,,,,,
2306,2018,3,19.4855,90.689,,,
2306,2018,4,19.5171,103.788,,,
2306,2018,5,,,,,
2306,2018,6,11.1101,,,,
2306,2018,7,,,,,
2306,2018,8,9.85405,100.54,,,
2306,2018,9,,,,,
2306,2018,10,18.7,,,,
2306,2018,11,20.2,,,,
2306,2018,12,22.9,,,,
2306,2019,1,24.1,,,,
2306,2019,2,17.9,,,,
2306,2019,3,20.4,,,,
2306,2019,4,17.6,,,,
2306,2019,5,,,,,
2306,2019,6,9.5,,,,
2306,2019,7,9.2232,94.99,,,
2306,2019,8,9.1944,104.54,,,
2306,2019,9,12.7627,122.37,,,
2306,2019,10,14.6112,103.87,,,
2306,2019,11,,,,,
2306,2019,12,15.0151,92.28,,,
2306,2020,1,,,,,
2306,2020,2,21.6539,106.37,,,
2306,2020,3,18.2924,93.21,,,
2306,2020,4,,,,,
2306,2020,5,11.917,118.95,,,
2306,2020,6,10.5536,102.92,,,
2306,2020,7,,,,,
2306,2020,8,,,,,
2306,2020,9,,,,,
2306,2020,10,,,,,
2306,2020,11,,,,,
2306,2020,12,20.22775,101.565,8.6985,,
2306,2021,1,18.4781,104.49,8.892,,
2306,2021,2,19.6477,92.59,8.363,,
2306,2021,3,16.4451,105.89,9.073,,
2306,2021,4,13.7056,91.01,7.947,,
2306,2021,5,14.7648,84.24,7.751,,
2306,2021,6,10.5246,75.66,8.18,,
2306,2021,7,9.3477,92.28,7.557,,
2306,2021,8,,,,,
2306,2021,9,,,,,
2306,2021,10,,,,,
2306,2021,11,18.23055,90.18,8.268,,
2306,2021,12,19.9139,90.29,8.484,,
2306,2022,1,23.1905,91.5,8.135,,
2306,2022,2,21.6421,94.83,8.036,,
2306,2022,3,19.3373,90.64,7.753,,
2306,2022,4,16.7269,93.9,8.023,,
2306,2022,5,13.7294,91.96,7.585,,
2306,2022,6,9.2203,97.84,7.655,,
2306,2022,7,9.5155,99.14,7.818,,
2306,2022,8,10.4874,94.87,7.858,,
2306,2022,9,12.9362,99.5,8.204,,
2306,2022,10,,,,,
2306,2022,11,14.61635,94.245,7.8415,,
2306,2022,12,17.9826,91.3,7.444,,
2306,2023,1,22.0767,96.33,7.844,,
2306,2023,2,22.8324,97.17,7.838,,
2306,2023,3,19.2511,100.17,8.138,,
2306,2023,4,15.5157,105.96,8.152,,
2306,2023,5,12.0564,110.36,8.181,,
2306,2023,6,9.4573,104.98,7.635,,
2306,2023,7,,,,,
2306,2023,8,10.9256,99.4,7.454,,
2306,2023,9,13.2184,98.34,7.504,,
2306,2023,10,15.9565,91.22,7.344,,
2306,2023,11,14.9025,94.51,7.276,,
2306,2023,12,21.4721,90.75,7.043,,
2306,2024,1,21.3326,88.96,7.012,,
2306,2024,2,21.0321,97.97,7.858,Medium,No
2306,2024,3,18.3697,104.06,7.946,High,Yes
2306,2024,4,14.4728,101.45,8.054,Low,No
2306,2024,5,12.5493,113.78,7.776,Low,No
2306,2024,6,,,,,
2306,2024,7,9.7158,113.5,8.108,,
2306,2024,8,9.3151,126.37,8.755,,
2306,2024,9,14.1356,97.26,8.017,,
2306,2024,10,15.0732,108.75,7.97,,
2306,2024,11,21.9989,99.11,7.976,,
2306,2024,12,,,,,
2306,2025,1,24.2134,101.82,8.161,High,Yes
2306,2025,2,21.9806,109.01,8.119,High,Yes
2306,2025,3,22.0533,98.91,8.628,,
2306,2025,4,,,,,
2306,2025,5,15.3237,105.61,8.405,,
2306,2025,6,8.7751,124.78,8.997,,
2306,2025,7,,,,,
2306,2025,8,,,,,
2306,2025,9,,,,,
2306,2025,10,,,,,
2306,2025,11,,,,,
2306,2025,12,,,,,
